"idx","level_1","level_2","level_3","level_4","level_5"
256,"08019301054","08019301","080193","08","09"
257,"08019301055","08019301","080193","08","09"
258,"08019302001","08019302","080193","08","09"
259,"08019302002","08019302","080193","08","09"
260,"08019302003","08019302","080193","08","09"
261,"08019302004","08019302","080193","08","09"
262,"08019302005","08019302","080193","08","09"
263,"08019302006","08019302","080193","08","09"
264,"08019302007","08019302","080193","08","09"
265,"08019302008","08019302","080193","08","09"
266,"08019302009","08019302","080193","08","09"
267,"08019302010","08019302","080193","08","09"
268,"08019302011","08019302","080193","08","09"
269,"08019302012","08019302","080193","08","09"
270,"08019302013","08019302","080193","08","09"
271,"08019302014","08019302","080193","08","09"
272,"08019302015","08019302","080193","08","09"
273,"08019302016","08019302","080193","08","09"
274,"08019302017","08019302","080193","08","09"
275,"08019302018","08019302","080193","08","09"
276,"08019302019","08019302","080193","08","09"
277,"08019302020","08019302","080193","08","09"
278,"08019302021","08019302","080193","08","09"
279,"08019302022","08019302","080193","08","09"
280,"08019302023","08019302","080193","08","09"
281,"08019302024","08019302","080193","08","09"
282,"08019302025","08019302","080193","08","09"
283,"08019302026","08019302","080193","08","09"
284,"08019302027","08019302","080193","08","09"
285,"08019302028","08019302","080193","08","09"
286,"08019302029","08019302","080193","08","09"
287,"08019302030","08019302","080193","08","09"
288,"08019302031","08019302","080193","08","09"
289,"08019302032","08019302","080193","08","09"
290,"08019302033","08019302","080193","08","09"
291,"08019302034","08019302","080193","08","09"
292,"08019302035","08019302","080193","08","09"
293,"08019302036","08019302","080193","08","09"
294,"08019302037","08019302","080193","08","09"
295,"08019302038","08019302","080193","08","09"
296,"08019302039","08019302","080193","08","09"
297,"08019302040","08019302","080193","08","09"
298,"08019302041","08019302","080193","08","09"
299,"08019302042","08019302","080193","08","09"
300,"08019302043","08019302","080193","08","09"
301,"08019302044","08019302","080193","08","09"
302,"08019302045","08019302","080193","08","09"
303,"08019302046","08019302","080193","08","09"
304,"08019302047","08019302","080193","08","09"
305,"08019302048","08019302","080193","08","09"
306,"08019302049","08019302","080193","08","09"
307,"08019302050","08019302","080193","08","09"
308,"08019302051","08019302","080193","08","09"
309,"08019302052","08019302","080193","08","09"
310,"08019302053","08019302","080193","08","09"
311,"08019302054","08019302","080193","08","09"
312,"08019302055","08019302","080193","08","09"
313,"08019302056","08019302","080193","08","09"
314,"08019302057","08019302","080193","08","09"
315,"08019302058","08019302","080193","08","09"
316,"08019302059","08019302","080193","08","09"
317,"08019302060","08019302","080193","08","09"
318,"08019302061","08019302","080193","08","09"
319,"08019302062","08019302","080193","08","09"
320,"08019302063","08019302","080193","08","09"
321,"08019302064","08019302","080193","08","09"
322,"08019302065","08019302","080193","08","09"
323,"08019302066","08019302","080193","08","09"
324,"08019302067","08019302","080193","08","09"
325,"08019302068","08019302","080193","08","09"
326,"08019302069","08019302","080193","08","09"
327,"08019302070","08019302","080193","08","09"
328,"08019302071","08019302","080193","08","09"
329,"08019302072","08019302","080193","08","09"
330,"08019302073","08019302","080193","08","09"
331,"08019302074","08019302","080193","08","09"
332,"08019302075","08019302","080193","08","09"
333,"08019302076","08019302","080193","08","09"
334,"08019302077","08019302","080193","08","09"
335,"08019302078","08019302","080193","08","09"
336,"08019302079","08019302","080193","08","09"
337,"08019302080","08019302","080193","08","09"
338,"08019302081","08019302","080193","08","09"
339,"08019302082","08019302","080193","08","09"
340,"08019302083","08019302","080193","08","09"
341,"08019302084","08019302","080193","08","09"
342,"08019302085","08019302","080193","08","09"
343,"08019302086","08019302","080193","08","09"
344,"08019302087","08019302","080193","08","09"
345,"08019302088","08019302","080193","08","09"
346,"08019302089","08019302","080193","08","09"
347,"08019302090","08019302","080193","08","09"
348,"08019302091","08019302","080193","08","09"
349,"08019302092","08019302","080193","08","09"
350,"08019302093","08019302","080193","08","09"
351,"08019302094","08019302","080193","08","09"
352,"08019302095","08019302","080193","08","09"
353,"08019302096","08019302","080193","08","09"
354,"08019302097","08019302","080193","08","09"
355,"08019302098","08019302","080193","08","09"
356,"08019302099","08019302","080193","08","09"
357,"08019302100","08019302","080193","08","09"
358,"08019302101","08019302","080193","08","09"
359,"08019302102","08019302","080193","08","09"
360,"08019302103","08019302","080193","08","09"
361,"08019302104","08019302","080193","08","09"
362,"08019302105","08019302","080193","08","09"
363,"08019302106","08019302","080193","08","09"
364,"08019302107","08019302","080193","08","09"
365,"08019302108","08019302","080193","08","09"
366,"08019302109","08019302","080193","08","09"
367,"08019302110","08019302","080193","08","09"
368,"08019302111","08019302","080193","08","09"
369,"08019302112","08019302","080193","08","09"
370,"08019302113","08019302","080193","08","09"
371,"08019302114","08019302","080193","08","09"
372,"08019302115","08019302","080193","08","09"
373,"08019302116","08019302","080193","08","09"
374,"08019302117","08019302","080193","08","09"
375,"08019302118","08019302","080193","08","09"
376,"08019302119","08019302","080193","08","09"
377,"08019302120","08019302","080193","08","09"
378,"08019302121","08019302","080193","08","09"
379,"08019302122","08019302","080193","08","09"
380,"08019302123","08019302","080193","08","09"
381,"08019302124","08019302","080193","08","09"
382,"08019302125","08019302","080193","08","09"
383,"08019302126","08019302","080193","08","09"
384,"08019302127","08019302","080193","08","09"
385,"08019302128","08019302","080193","08","09"
386,"08019302129","08019302","080193","08","09"
387,"08019302130","08019302","080193","08","09"
388,"08019302131","08019302","080193","08","09"
389,"08019302132","08019302","080193","08","09"
390,"08019302133","08019302","080193","08","09"
391,"08019302134","08019302","080193","08","09"
392,"08019302135","08019302","080193","08","09"
393,"08019302136","08019302","080193","08","09"
394,"08019302137","08019302","080193","08","09"
395,"08019302138","08019302","080193","08","09"
396,"08019302139","08019302","080193","08","09"
397,"08019302140","08019302","080193","08","09"
398,"08019302141","08019302","080193","08","09"
399,"08019302142","08019302","080193","08","09"
400,"08019302143","08019302","080193","08","09"
401,"08019302144","08019302","080193","08","09"
402,"08019302145","08019302","080193","08","09"
403,"08019302146","08019302","080193","08","09"
404,"08019302147","08019302","080193","08","09"
405,"08019302148","08019302","080193","08","09"
406,"08019302149","08019302","080193","08","09"
407,"08019302150","08019302","080193","08","09"
408,"08019302151","08019302","080193","08","09"
409,"08019302152","08019302","080193","08","09"
410,"08019302153","08019302","080193","08","09"
411,"08019302154","08019302","080193","08","09"
412,"08019302155","08019302","080193","08","09"
413,"08019302156","08019302","080193","08","09"
414,"08019302157","08019302","080193","08","09"
415,"08019302158","08019302","080193","08","09"
416,"08019302159","08019302","080193","08","09"
417,"08019302160","08019302","080193","08","09"
418,"08019302161","08019302","080193","08","09"
419,"08019302162","08019302","080193","08","09"
420,"08019302163","08019302","080193","08","09"
421,"08019302164","08019302","080193","08","09"
422,"08019302165","08019302","080193","08","09"
423,"08019302166","08019302","080193","08","09"
424,"08019302167","08019302","080193","08","09"
425,"08019302168","08019302","080193","08","09"
426,"08019302169","08019302","080193","08","09"
427,"08019302170","08019302","080193","08","09"
428,"08019302171","08019302","080193","08","09"
429,"08019302172","08019302","080193","08","09"
430,"08019302173","08019302","080193","08","09"
431,"08019303001","08019303","080193","08","09"
432,"08019303002","08019303","080193","08","09"
433,"08019303003","08019303","080193","08","09"
434,"08019303004","08019303","080193","08","09"
435,"08019303005","08019303","080193","08","09"
436,"08019303006","08019303","080193","08","09"
437,"08019303007","08019303","080193","08","09"
438,"08019303008","08019303","080193","08","09"
439,"08019303009","08019303","080193","08","09"
440,"08019303010","08019303","080193","08","09"
441,"08019303011","08019303","080193","08","09"
442,"08019303012","08019303","080193","08","09"
443,"08019303013","08019303","080193","08","09"
444,"08019303014","08019303","080193","08","09"
445,"08019303015","08019303","080193","08","09"
446,"08019303016","08019303","080193","08","09"
447,"08019303017","08019303","080193","08","09"
448,"08019303018","08019303","080193","08","09"
449,"08019303019","08019303","080193","08","09"
450,"08019303020","08019303","080193","08","09"
451,"08019303021","08019303","080193","08","09"
452,"08019303022","08019303","080193","08","09"
453,"08019303023","08019303","080193","08","09"
454,"08019303024","08019303","080193","08","09"
455,"08019303025","08019303","080193","08","09"
456,"08019303026","08019303","080193","08","09"
457,"08019303027","08019303","080193","08","09"
458,"08019303028","08019303","080193","08","09"
459,"08019303029","08019303","080193","08","09"
460,"08019303030","08019303","080193","08","09"
461,"08019303031","08019303","080193","08","09"
462,"08019303032","08019303","080193","08","09"
463,"08019303033","08019303","080193","08","09"
464,"08019303034","08019303","080193","08","09"
465,"08019303035","08019303","080193","08","09"
466,"08019303036","08019303","080193","08","09"
467,"08019303037","08019303","080193","08","09"
468,"08019303038","08019303","080193","08","09"
469,"08019303039","08019303","080193","08","09"
470,"08019303040","08019303","080193","08","09"
471,"08019303041","08019303","080193","08","09"
472,"08019303042","08019303","080193","08","09"
473,"08019303043","08019303","080193","08","09"
474,"08019303044","08019303","080193","08","09"
475,"08019303045","08019303","080193","08","09"
476,"08019303046","08019303","080193","08","09"
477,"08019303047","08019303","080193","08","09"
478,"08019303048","08019303","080193","08","09"
479,"08019303049","08019303","080193","08","09"
480,"08019303050","08019303","080193","08","09"
481,"08019303051","08019303","080193","08","09"
482,"08019303052","08019303","080193","08","09"
483,"08019303053","08019303","080193","08","09"
484,"08019303054","08019303","080193","08","09"
485,"08019303055","08019303","080193","08","09"
486,"08019303056","08019303","080193","08","09"
487,"08019303057","08019303","080193","08","09"
488,"08019303058","08019303","080193","08","09"
489,"08019303059","08019303","080193","08","09"
490,"08019303060","08019303","080193","08","09"
491,"08019303061","08019303","080193","08","09"
492,"08019303062","08019303","080193","08","09"
493,"08019303063","08019303","080193","08","09"
494,"08019303064","08019303","080193","08","09"
495,"08019303065","08019303","080193","08","09"
496,"08019303066","08019303","080193","08","09"
