ca,pro,muni,dist,seccen,idx
09,08,080155,08015507,08015507022,393
09,08,080155,08015507,08015507023,394
09,08,080155,08015507,08015507023,395
09,08,080155,08015507,08015507023,396
09,08,080155,08015507,08015507024,397
09,08,080155,08015507,08015507024,398
09,08,080155,08015507,08015507024,399
09,08,080155,08015507,08015507028,400
09,08,080155,08015507,08015507028,401
09,08,080155,08015507,08015507028,402
09,08,080155,08015507,08015507029,403
09,08,080155,08015507,08015507029,404
09,08,080155,08015507,08015507029,405
09,08,080155,08015507,08015507030,406
09,08,080155,08015507,08015507030,407
09,08,080155,08015507,08015507030,408
09,08,080155,08015507,08015507031,409
09,08,080155,08015507,08015507031,410
09,08,080155,08015507,08015507031,411
09,08,080155,08015508,08015508001,412
09,08,080155,08015508,08015508001,413
09,08,080155,08015508,08015508001,414
09,08,080155,08015508,08015508002,415
09,08,080155,08015508,08015508002,416
09,08,080155,08015508,08015508002,417
09,08,080155,08015508,08015508003,418
09,08,080155,08015508,08015508003,419
09,08,080155,08015508,08015508003,420
09,08,080155,08015508,08015508004,421
09,08,080155,08015508,08015508004,422
09,08,080155,08015508,08015508004,423
09,08,080155,08015508,08015508005,424
09,08,080155,08015508,08015508005,425
09,08,080155,08015508,08015508005,426
09,08,080155,08015508,08015508006,427
09,08,080155,08015508,08015508006,428
09,08,080155,08015508,08015508006,429
09,08,080155,08015508,08015508007,430
09,08,080155,08015508,08015508007,431
09,08,080155,08015508,08015508007,432
09,08,080155,08015508,08015508008,433
09,08,080155,08015508,08015508008,434
09,08,080155,08015508,08015508008,435
09,08,080155,08015508,08015508009,436
09,08,080155,08015508,08015508009,437
09,08,080155,08015508,08015508009,438
09,08,080155,08015508,08015508011,439
09,08,080155,08015508,08015508011,440
09,08,080155,08015508,08015508011,441
09,08,080155,08015508,08015508012,442
09,08,080155,08015508,08015508012,443
09,08,080155,08015508,08015508012,444
09,08,080155,08015508,08015508013,445
09,08,080155,08015508,08015508013,446
09,08,080155,08015508,08015508013,447
09,08,080155,08015509,08015509001,448
09,08,080155,08015509,08015509001,449
09,08,080155,08015509,08015509001,450
09,08,080155,08015509,08015509002,451
09,08,080155,08015509,08015509002,452
09,08,080155,08015509,08015509002,453
09,08,080155,08015509,08015509003,454
09,08,080155,08015509,08015509003,455
09,08,080155,08015509,08015509003,456
09,08,080155,08015509,08015509004,457
09,08,080155,08015509,08015509004,458
09,08,080155,08015509,08015509004,459
09,08,080155,08015509,08015509005,460
09,08,080155,08015509,08015509005,461
09,08,080155,08015509,08015509005,462
09,08,080155,08015509,08015509006,463
09,08,080155,08015509,08015509006,464
09,08,080155,08015509,08015509006,465
09,08,080155,08015509,08015509008,466
09,08,080155,08015509,08015509008,467
09,08,080155,08015509,08015509008,468
09,08,080155,08015509,08015509009,469
09,08,080155,08015509,08015509009,470
09,08,080155,08015509,08015509009,471
09,08,080155,08015509,08015509010,472
09,08,080155,08015509,08015509010,473
09,08,080155,08015509,08015509010,474
09,08,080155,08015509,08015509011,475
09,08,080155,08015509,08015509011,476
09,08,080155,08015509,08015509011,477
09,08,080155,08015509,08015509012,478
09,08,080155,08015509,08015509012,479
09,08,080155,08015509,08015509012,480
09,08,080155,08015509,08015509013,481
09,08,080155,08015509,08015509013,482
09,08,080155,08015509,08015509013,483
09,08,080155,08015509,08015509014,484
09,08,080155,08015509,08015509014,485
09,08,080155,08015509,08015509014,486
09,08,080155,08015509,08015509015,487
09,08,080155,08015509,08015509015,488
09,08,080155,08015509,08015509015,489
09,08,080155,08015509,08015509016,490
09,08,080155,08015509,08015509016,491
09,08,080155,08015509,08015509016,492
09,08,080155,08015509,08015509017,493
09,08,080155,08015509,08015509017,494
09,08,080155,08015509,08015509017,495
09,08,080155,08015509,08015509018,496
09,08,080155,08015509,08015509018,497
09,08,080155,08015509,08015509018,498
09,08,080155,08015509,08015509019,499
09,08,080155,08015509,08015509019,500
09,08,080155,08015509,08015509019,501
09,08,080155,08015509,08015509020,502
09,08,080155,08015509,08015509020,503
09,08,080155,08015509,08015509020,504
09,08,080155,08015509,08015509021,505
09,08,080155,08015509,08015509021,506
09,08,080155,08015509,08015509021,507
09,08,080155,08015509,08015509022,508
09,08,080155,08015509,08015509022,509
09,08,080155,08015509,08015509022,510
09,08,080155,08015509,08015509023,511
09,08,080155,08015509,08015509023,512
09,08,080155,08015509,08015509023,513
09,08,080155,08015509,08015509024,514
09,08,080155,08015509,08015509024,515
09,08,080155,08015509,08015509024,516
09,08,080155,08015509,08015509025,517
09,08,080155,08015509,08015509025,518
09,08,080155,08015509,08015509025,519
09,08,080155,08015509,08015509026,520
09,08,080155,08015509,08015509026,521
09,08,080155,08015509,08015509026,522
09,08,080155,08015509,08015509027,523
09,08,080155,08015509,08015509027,524
09,08,080155,08015509,08015509027,525
09,08,080155,08015509,08015509028,526
09,08,080155,08015509,08015509028,527
09,08,080155,08015509,08015509028,528
09,08,080155,08015509,08015509030,529
09,08,080155,08015509,08015509030,530
09,08,080155,08015509,08015509030,531
09,08,080155,08015509,08015509031,532
09,08,080155,08015509,08015509031,533
09,08,080155,08015509,08015509031,534
09,08,080155,08015509,08015509032,535
09,08,080155,08015509,08015509032,536
09,08,080155,08015509,08015509032,537
09,08,080155,08015509,08015509033,538
09,08,080155,08015509,08015509033,539
09,08,080155,08015509,08015509033,540
09,08,080155,08015509,08015509034,541
09,08,080155,08015509,08015509034,542
09,08,080155,08015509,08015509034,543
09,08,080155,08015509,08015509035,544
09,08,080155,08015509,08015509035,545
09,08,080155,08015509,08015509035,546
09,08,080155,08015509,08015509036,547
09,08,080155,08015509,08015509036,548
09,08,080155,08015509,08015509036,549
09,08,080155,08015509,08015509037,550
09,08,080155,08015509,08015509037,551
09,08,080155,08015509,08015509037,552
09,08,080155,08015509,08015509038,553
09,08,080155,08015509,08015509038,554
09,08,080155,08015509,08015509038,555
09,08,080155,08015509,08015509042,556
09,08,080155,08015509,08015509042,557
09,08,080155,08015509,08015509042,558
09,08,080155,08015509,08015509043,559
09,08,080155,08015509,08015509043,560
09,08,080155,08015509,08015509043,561
09,08,080155,08015509,08015509044,562
09,08,080155,08015509,08015509044,563
09,08,080155,08015509,08015509044,564
09,08,080155,08015509,08015509045,565
09,08,080155,08015509,08015509045,566
09,08,080155,08015509,08015509045,567
09,08,080155,08015509,08015509047,568
09,08,080155,08015509,08015509047,569
09,08,080155,08015509,08015509047,570
09,08,080155,08015509,08015509049,571
09,08,080155,08015509,08015509049,572
09,08,080155,08015509,08015509049,573
09,08,080155,08015509,08015509052,574
09,08,080155,08015509,08015509052,575
09,08,080155,08015509,08015509052,576
09,08,080155,08015509,08015509053,577
09,08,080155,08015509,08015509053,578
09,08,080155,08015509,08015509053,579
09,08,080155,08015509,08015509054,580
09,08,080155,08015509,08015509054,581
09,08,080155,08015509,08015509054,582
09,08,080155,08015509,08015509057,583
09,08,080155,08015509,08015509057,584
09,08,080155,08015509,08015509057,585
09,08,080155,08015509,08015509058,586
09,08,080155,08015509,08015509058,587
09,08,080155,08015509,08015509058,588
09,08,080155,08015509,08015509059,589
09,08,080155,08015509,08015509059,590
09,08,080155,08015509,08015509059,591
09,08,080168,08016801,08016801001,592
09,08,080168,08016801,08016801001,593
09,08,080168,08016801,08016801001,594
09,08,080174,08017401,08017401001,595
09,08,080174,08017401,08017401001,596
09,08,080174,08017401,08017401001,597
09,08,080174,08017401,08017401002,598
09,08,080174,08017401,08017401002,599
09,08,080174,08017401,08017401002,600
09,08,080180,08018001,08018001001,601
09,08,080180,08018001,08018001001,602
09,08,080180,08018001,08018001001,603
09,08,080180,08018001,08018001002,604
09,08,080180,08018001,08018001002,605
09,08,080180,08018001,08018001002,606
09,08,080180,08018001,08018001003,607
09,08,080180,08018001,08018001003,608
09,08,080180,08018001,08018001003,609
09,08,080193,08019301,08019301001,610
09,08,080193,08019301,08019301001,611
09,08,080193,08019301,08019301001,612
09,08,080193,08019301,08019301002,613
09,08,080193,08019301,08019301002,614
09,08,080193,08019301,08019301002,615
09,08,080193,08019301,08019301003,616
09,08,080193,08019301,08019301003,617
09,08,080193,08019301,08019301003,618
09,08,080193,08019301,08019301004,619
09,08,080193,08019301,08019301004,620
09,08,080193,08019301,08019301004,621
09,08,080193,08019301,08019301005,622
09,08,080193,08019301,08019301005,623
09,08,080193,08019301,08019301005,624
09,08,080193,08019301,08019301006,625
09,08,080193,08019301,08019301006,626
09,08,080193,08019301,08019301006,627
09,08,080193,08019301,08019301007,628
09,08,080193,08019301,08019301007,629
09,08,080193,08019301,08019301007,630
09,08,080193,08019301,08019301008,631
09,08,080193,08019301,08019301008,632
09,08,080193,08019301,08019301008,633
09,08,080193,08019301,08019301009,634
09,08,080193,08019301,08019301009,635
09,08,080193,08019301,08019301009,636
09,08,080193,08019301,08019301010,637
09,08,080193,08019301,08019301010,638
09,08,080193,08019301,08019301010,639
09,08,080193,08019301,08019301011,640
09,08,080193,08019301,08019301011,641
09,08,080193,08019301,08019301011,642
09,08,080193,08019301,08019301012,643
09,08,080193,08019301,08019301012,644
09,08,080193,08019301,08019301012,645
